signal	unit	muliplier	addition	Round
2_HOURS_SPEICEMAN	mg/dL	1	0	0.01
AFP	NG/ML	1	0	0.01
AFP	ng/mL	1	0	0.01
AFP	1	1	0	0.01
AFP	UNK	1	0	0.01
ALP	MG/G CREAT	1	0	0.01
ALP	U/L	1	0	0.01
ALP	UNITS	1	0	0.01
ALP	IU/L	1	0	0.01
ALP	u/l	1	0	0.01
ALP	1	1	0	0.01
ALP	UNK	1	0	0.01
ALP	NA	1	0	0.01
ALP	unit/L	1	0	0.01
ALP	Units/L	1	0	0.01
ALP	IUnit/L	1	0	0.01
ALT	U/L	1	0	0.01
ALT	UNITS	1	0	0.01
ALT	IU/L	1	0	0.01
ALT	u/l	1	0	0.01
ALT	1	1	0	0.01
ALT	UNK	1	0	0.01
ALT	unit/L	1	0	0.01
ALT	NA	1	0	0.01
ALT	units/L	1	0	0.01
APOB	mg/dL	1	0	0.01
APOB	MG/DL	1	0	0.01
APOB	1	1	0	0.01
APOB	UNK	1	0	0.01
APOB	0	1	0	0.01
APOB	NA	1	0	0.01
