sig	canada_to_medial_factor
Albumin	0.1
ALKP	1
ALT	1
AST	1
B12	1
Basophils#	1
Bilirubin	0.058
Ca	4
Cl	1
Cholesterol	38.61
Cholesterol_over_HDL	1
Creatinine	0.011
CK	1
CRP	0.1
Eosinophils#	1
Ferritin	1
FreeT3	1
FreeT4	1
eGFR	1
Glucose	18.016
HbA1C	1
HDL	38.665
Hematocrit	100
INR	1
LDL	38.665
Lymphocytes#	1
MCH	1
MCHC-M	0.1
MCV	1
Monocytes#	1
MPV	1
Na	1
NonHDLCholesterol	38.665
Platelets	1
K+	1
Prolactin	21.2766
PSA	1
RandomGlucose	18.01
RBC	1
Testosterone	1
Triglycerides	88.5
TSH	1
Uric_Acid	0.0168
Urea	0.01284
UrineAlbumin	1
UrineAlbumin_over_Creatinine	1
Urine_Dipstick_pH	1
UrineTotalProtein	1
VitaminD_25	1
WBC	1
RDW	1
Hemoglobin	0.1
